Gene,Gene description,Variation between individuals,Variation within individuals
RADIL,Rap associating with DIL domain,27.63,3.82
ADAMTSL4,ADAMTS like 4,27.62,10.16
FCER2,Fc epsilon receptor II,27.62,51.94
AFAP1L2,Actin filament associated protein 1 like 2,27.61,12.86
MTHFSD,Methenyltetrahydrofolate synthetase domain containing,27.6,7.98
PPP1R2,Protein phosphatase 1 regulatory inhibitor subunit 2,27.58,2.38
OPLAH,"5-oxoprolinase, ATP-hydrolysing",27.51,1.1
BGLAP,Bone gamma-carboxyglutamate protein,27.51,6.57
AHNAK2,AHNAK nucleoprotein 2,27.45,14.74
PTPN6,Protein tyrosine phosphatase non-receptor type 6,27.42,0.89
ACY3,Aminoacylase 3,27.4,21.56
VAMP8,Vesicle associated membrane protein 8,27.38,2.51
DAPP1,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1,27.37,3.71
EIF2AK2,Eukaryotic translation initiation factor 2 alpha kinase 2,27.37,2.45
QPCT,Glutaminyl-peptide cyclotransferase,27.36,34.9
PDGFC,Platelet derived growth factor C,27.36,20.95
NRXN1,Neurexin 1,27.34,32.44
NACC1,Nucleus accumbens associated 1,27.3,5.13
CDKN1A,Cyclin dependent kinase inhibitor 1A,27.25,4
CEP44,Centrosomal protein 44,27.11,0.12
PGD,Phosphogluconate dehydrogenase,27.08,16.07
PCDH17,Protocadherin 17,27.08,14.8
SERPINA12,Serpin family A member 12,27.06,24.58
C1orf116,Chromosome 1 open reading frame 116,27.02,5.04
PSMG1,Proteasome assembly chaperone 1,27,13.82
SFRP1,Secreted frizzled related protein 1,26.99,17.86
BAG4,BAG cochaperone 4,26.98,1.23
SH2D1A,SH2 domain containing 1A,26.94,7.08
FOXO1,Forkhead box O1,26.94,7.57
PSTPIP2,Proline-serine-threonine phosphatase interacting protein 2,26.92,2.07
BRDT,Bromodomain testis associated,26.9,4.55
INPP5D,Inositol polyphosphate-5-phosphatase D,26.86,3.6
TMED8,Transmembrane p24 trafficking protein family member 8,26.8,2.03
LCP2,Lymphocyte cytosolic protein 2,26.77,0.81
APOL1,Apolipoprotein L1,26.58,24.47
YOD1,YOD1 deubiquitinase,26.55,0
CCN4,Cellular communication network factor 4,26.53,32.94
OAF,Out at first homolog,26.52,29.17
GFRA1,GDNF family receptor alpha 1,26.52,16.92
FUT5,Fucosyltransferase 5,26.49,43.56
FUT3,Fucosyltransferase 3 (Lewis blood group),26.49,43.56
ASPN,Asporin,26.49,7.37
EML4,EMAP like 4,26.47,2.51
TXLNA,Taxilin alpha,26.42,2.78
MTSS1,MTSS I-BAR domain containing 1,26.4,0
TNC,Tenascin C,26.4,43.64
CD28,CD28 molecule,26.37,26.92
C16orf86,Chromosome 16 open reading frame 86,26.36,4.01
UBOX5,U-box domain containing 5,26.34,9.52
PAIP1,Poly(A) binding protein interacting protein 1,26.24,1.75
IL2RA,Interleukin 2 receptor subunit alpha,26.22,37.38
SLC16A1,Solute carrier family 16 member 1,26.21,6.29
RNF5,Ring finger protein 5,26.16,3.94
GIT1,GIT ArfGAP 1,26.16,0.59
SLA2,Src like adaptor 2,26.15,0
SNX18,Sorting nexin 18,26.15,11.13
IMPA1,Inositol monophosphatase 1,26.11,4.44
IGFBP2,Insulin like growth factor binding protein 2,26.11,23.91
CLEC4G,C-type lectin domain family 4 member G,26.08,19.44
SORCS2,Sortilin related VPS10 domain containing receptor 2,26,6.24
SPINT2,"Serine peptidase inhibitor, Kunitz type 2",26,15.94
CRKL,"CRK like proto-oncogene, adaptor protein",25.99,0
STAT2,Signal transducer and activator of transcription 2,25.99,3.86
BMP7,Bone morphogenetic protein 7,25.91,6.49
BOLA2B,BolA family member 2B,25.91,5.56
BOLA2,BolA family member 2,25.91,5.56
DPEP1,Dipeptidase 1,25.89,57.01
PRMT3,Protein arginine methyltransferase 3,25.88,3.12
RABEP2,"Rabaptin, RAB GTPase binding effector protein 2",25.8,0
MYBPC2,Myosin binding protein C2,25.77,9.73
RABGAP1L,RAB GTPase activating protein 1 like,25.74,0
FGD3,"FYVE, RhoGEF and PH domain containing 3",25.71,3.34
FGFR2,Fibroblast growth factor receptor 2,25.69,9.23
SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8,25.68,0
SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",25.65,0.57
JAM2,Junctional adhesion molecule 2,25.59,12.47
PRTG,Protogenin,25.56,18.63
IRAK4,Interleukin 1 receptor associated kinase 4,25.52,3.13
TEK,TEK receptor tyrosine kinase,25.48,30.7
CACNB3,Calcium voltage-gated channel auxiliary subunit beta 3,25.41,4.61
OXT,Oxytocin/neurophysin I prepropeptide,25.36,41.64
ATE1,Arginyltransferase 1,25.24,3.08
CEP250,Centrosomal protein 250,25.18,1.45
RGS6,Regulator of G protein signaling 6,25.12,0.91
GGT1,Gamma-glutamyltransferase 1,25.08,23.88
PER3,Period circadian regulator 3,25.03,20.18
TNFRSF21,TNF receptor superfamily member 21,25.02,38.01
PRKAR1B,Protein kinase cAMP-dependent type I regulatory subunit beta,24.94,2.88
NUMB,NUMB endocytic adaptor protein,24.94,5.58
CLTA,Clathrin light chain A,24.93,11.94
EIF2B4,Eukaryotic translation initiation factor 2B subunit delta,24.9,2.22
TWF2,Twinfilin actin binding protein 2,24.9,2.12
NAGK,N-acetylglucosamine kinase,24.9,14.97
TNFAIP8L2,TNF alpha induced protein 8 like 2,24.84,4.8
GP5,Glycoprotein V platelet,24.84,9.54
CTSE,Cathepsin E,24.84,26.24
GOPC,Golgi associated PDZ and coiled-coil motif containing,24.82,3.46
FADD,Fas associated via death domain,24.78,2.68
GBP2,Guanylate binding protein 2,24.75,19.34
MPHOSPH8,M-phase phosphoprotein 8,24.74,4.03
PACS2,Phosphofurin acidic cluster sorting protein 2,24.71,1.14
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,24.71,2.89
RPH3A,Rabphilin 3A,24.7,27.61
MPRIP,Myosin phosphatase Rho interacting protein,24.65,7.17
CSTB,Cystatin B,24.62,13.32
AKT1S1,AKT1 substrate 1,24.56,2.52
RNF41,Ring finger protein 41,24.48,1.38
GHR,Growth hormone receptor,24.48,43.29
WASF1,WASP family member 1,24.43,6.05
PRDX1,Peroxiredoxin 1,24.42,1.99
ATG16L1,Autophagy related 16 like 1,24.41,0
CD7,CD7 molecule,24.4,28.82
RNF10,Ring finger protein 10,24.39,3.1
FUS,FUS RNA binding protein,24.37,0
SPESP1,Sperm equatorial segment protein 1,24.23,55.3
VPS54,VPS54 subunit of GARP complex,24.19,0
MAPKAPK2,MAPK activated protein kinase 2,24.18,2.31
CSRP3,Cysteine and glycine rich protein 3,24.15,25.18
MITD1,Microtubule interacting and trafficking domain containing 1,24.11,2.44
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",24.07,10.2
TBC1D13,TBC1 domain family member 13,24.02,13.47
PELO,Pelota mRNA surveillance and ribosome rescue factor,23.99,0
KEL,Kell metallo-endopeptidase (Kell blood group),23.99,41.75
DAP,Death associated protein,23.98,5.2
LDLRAP1,Low density lipoprotein receptor adaptor protein 1,23.93,3.03
DTX3L,Deltex E3 ubiquitin ligase 3L,23.87,1.2
FOXJ3,Forkhead box J3,23.84,10.88
ICAM1,Intercellular adhesion molecule 1,23.82,42.26
MDM1,Mdm1 nuclear protein,23.78,7.52
TAX1BP1,Tax1 binding protein 1,23.73,0.16
ITCH,Itchy E3 ubiquitin protein ligase,23.72,13.04
GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,23.72,28.51
LRCH1,Leucine rich repeats and calponin homology domain containing 1,23.69,0
CKAP4,Cytoskeleton associated protein 4,23.68,29.42
GAS2L1,Growth arrest specific 2 like 1,23.64,3.55
ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,23.62,35.83
IAH1,Isoamyl acetate hydrolyzing esterase 1 (putative),23.57,4.21
PCDH12,Protocadherin 12,23.5,30.68
DRG2,Developmentally regulated GTP binding protein 2,23.5,0
CCDC43,Coiled-coil domain containing 43,23.49,3.93
NUDT16,Nudix hydrolase 16,23.48,4.2
GPX4,Glutathione peroxidase 4,23.48,10.02
PPP1R2B,PPP1R2 family member B,23.47,2.38
GDF15,Growth differentiation factor 15,23.47,35.44
TNFRSF10B,TNF receptor superfamily member 10b,23.47,34.91
CD27,CD27 molecule,23.46,40.15
MGMT,O-6-methylguanine-DNA methyltransferase,23.41,12.79
PGLYRP3,Peptidoglycan recognition protein 3,23.4,39.7
FGF21,Fibroblast growth factor 21,23.36,23.12
KIAA0513,KIAA0513,23.28,3.17
PNLIP,Pancreatic lipase,23.24,40.66
AXL,AXL receptor tyrosine kinase,23.16,43.3
CPQ,Carboxypeptidase Q,23.15,15.54
TSPYL1,TSPY like 1,23.15,4.66
NEK3,NIMA related kinase 3,23.14,19.77
IL1R1,Interleukin 1 receptor type 1,23.12,33.75
CORO6,Coronin 6,23.1,14.73
EGFL7,EGF like domain multiple 7,23.06,21.52
KATNB1,Katanin regulatory subunit B1,22.99,3.76
DMD,Dystrophin,22.98,3.35
TPD52L2,TPD52 like 2,22.93,4.5
TNFRSF13B,TNF receptor superfamily member 13B,22.86,28.48
SYF2,SYF2 pre-mRNA splicing factor,22.84,4.89
TCF25,Transcription factor 25,22.82,5.95
TRIM41,Tripartite motif containing 41,22.78,0.18
PGF,Placental growth factor,22.76,18.34
NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,22.75,8.9
SELE,Selectin E,22.68,55.75
AZI2,5-azacytidine induced 2,22.66,0.98
RGS10,Regulator of G protein signaling 10,22.65,2.76
GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,22.65,43.36
S100A16,S100 calcium binding protein A16,22.61,16.46
PON3,Paraoxonase 3,22.59,19.64
FAM91A1,Family with sequence similarity 91 member A1,22.51,0
REG4,Regenerating family member 4,22.5,34.45
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,22.48,4.49
ICA1,Islet cell autoantigen 1,22.44,1.16
AAGAB,Alpha and gamma adaptin binding protein,22.32,4.39
VPS4B,Vacuolar protein sorting 4 homolog B,22.32,2.45
DSG2,Desmoglein 2,22.32,36.65
KLHDC4,Kelch domain containing 4,22.31,18.25
MYOM3,Myomesin 3,22.25,24.91
MMRN2,Multimerin 2,22.23,11.02
ZFYVE19,Zinc finger FYVE-type containing 19,22.19,5.58
CKB,Creatine kinase B,22.18,25.14
ADD1,Adducin 1,22.18,0.53
HNRNPK,Heterogeneous nuclear ribonucleoprotein K,22.16,0
FAM221A,Family with sequence similarity 221 member A,22.15,7.02
C2,Complement C2,22.12,15.25
PCOLCE,Procollagen C-endopeptidase enhancer,22.12,26.24
LRIG1,Leucine rich repeats and immunoglobulin like domains 1,22.1,39.29
RAB2B,"RAB2B, member RAS oncogene family",22.07,0.43
HBS1L,HBS1 like translational GTPase,22.07,2.33
FLI1,"Fli-1 proto-oncogene, ETS transcription factor",22.06,4.41
MRTFA,Myocardin related transcription factor A,22.06,0.34
PHACTR2,Phosphatase and actin regulator 2,22,3.84
NPPB,Natriuretic peptide B,21.98,20.42
DMP1,Dentin matrix acidic phosphoprotein 1,21.97,6.46
DOHH,Deoxyhypusine hydroxylase,21.95,0
USP8,Ubiquitin specific peptidase 8,21.95,3.56
RRM2B,Ribonucleotide reductase regulatory TP53 inducible subunit M2B,21.94,5.32
APRT,Adenine phosphoribosyltransferase,21.92,5.13
STK39,Serine/threonine kinase 39,21.91,2.64
F7,Coagulation factor VII,21.91,33.09
DKK1,Dickkopf WNT signaling pathway inhibitor 1,21.87,19.77
ASCC1,Activating signal cointegrator 1 complex subunit 1,21.84,3.56
CALCOCO2,Calcium binding and coiled-coil domain 2,21.83,1.76
CBLN4,Cerebellin 4 precursor,21.83,26.89
CDH17,Cadherin 17,21.79,56.3
CSDE1,Cold shock domain containing E1,21.75,12.08
SCGB3A2,Secretoglobin family 3A member 2,21.74,38.44
DBN1,Drebrin 1,21.68,7.72
CLMP,CXADR like membrane protein,21.66,19.67
CRYGD,Crystallin gamma D,21.64,23.42
ASGR1,Asialoglycoprotein receptor 1,21.59,23.86
ADA,Adenosine deaminase,21.57,6.28
SCARA5,Scavenger receptor class A member 5,21.54,6.4
EIF1AX,Eukaryotic translation initiation factor 1A X-linked,21.46,4.02
ROR1,Receptor tyrosine kinase like orphan receptor 1,21.38,32.82
BOLA1,BolA family member 1,21.36,3.57
HYAL1,Hyaluronidase 1,21.35,6.26
ESYT1,Extended synaptotagmin 1,21.34,0
CMIP,C-Maf inducing protein,21.32,2.41
LAT,Linker for activation of T cells,21.32,5.23
TPPP3,Tubulin polymerization promoting protein family member 3,21.31,10.33
TIMD4,T cell immunoglobulin and mucin domain containing 4,21.31,49.83
TFF1,Trefoil factor 1,21.29,34.2
FCRL2,Fc receptor like 2,21.28,53.28
GPNMB,Glycoprotein nmb,21.28,44.41
PLA2G4A,Phospholipase A2 group IVA,21.18,1.16
AMPD3,Adenosine monophosphate deaminase 3,21.17,0
PDIA3,Protein disulfide isomerase family A member 3,21.14,3.28
LAT2,Linker for activation of T cells family member 2,21.13,2.04
FKBP1B,FKBP prolyl isomerase 1B,21.13,3.27
KHK,Ketohexokinase,21.09,12.14
ENSA,Endosulfine alpha,21.07,3.27
IL1R2,Interleukin 1 receptor type 2,21.02,31.94
FRMD4B,FERM domain containing 4B,20.94,0
C19orf33,Chromosome 19 open reading frame 33,20.92,11.88
RAMP2,Receptor activity modifying protein 2,20.91,17.77
WWP2,WW domain containing E3 ubiquitin protein ligase 2,20.88,0.77
RBM17,RNA binding motif protein 17,20.88,1.37
CD8A,CD8a molecule,20.84,7.14
GRAP2,GRB2 related adaptor protein 2,20.83,2.23
ADSL,Adenylosuccinate lyase,20.82,1.3
PLCB2,Phospholipase C beta 2,20.82,2.19
SMAD3,SMAD family member 3,20.79,10.4
BLOC1S3,Biogenesis of lysosomal organelles complex 1 subunit 3,20.76,3.7
ZC3H15,Zinc finger CCCH-type containing 15,20.75,7.6
RIMOC1,RAB7A interacting MON1-CCZ1 complex subunit 1,20.73,0
ABI3BP,ABI family member 3 binding protein,20.7,47.59
MIF,Macrophage migration inhibitory factor,20.69,2.05
RNF213,Ring finger protein 213,20.55,0
CARHSP1,Calcium regulated heat stable protein 1,20.55,2.28
CYLD,CYLD lysine 63 deubiquitinase,20.53,12.89
ANKMY2,Ankyrin repeat and MYND domain containing 2,20.49,2.59
FBP1,Fructose-bisphosphatase 1,20.47,5.93
MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",20.45,27.92
STAMBP,STAM binding protein,20.44,0.76
STK11,Serine/threonine kinase 11,20.42,0.47
PLXNB3,Plexin B3,20.4,5.49
SBSPON,Somatomedin B and thrombospondin type 1 domain containing,20.4,21.58
PDP1,Pyruvate dehydrogenase phosphatase catalytic subunit 1,20.39,8.62
KIFC3,Kinesin family member C3,20.37,0
COX6B1,Cytochrome c oxidase subunit 6B1,20.35,11.31
MILR1,Mast cell immunoglobulin like receptor 1,20.34,41.81
VAV3,Vav guanine nucleotide exchange factor 3,20.32,0.44
SIRT6,Sirtuin 6,20.3,9.12
GM2A,Ganglioside GM2 activator,20.3,37.62
LAYN,Layilin,20.27,26.13
FLT3,Fms related receptor tyrosine kinase 3,20.26,28.09
DBNL,Drebrin like,20.24,0.18
HNMT,Histamine N-methyltransferase,20.22,27.86
RBM3,RNA binding motif protein 3,20.21,2.9
FAS,Fas cell surface death receptor,20.16,24.74
OSMR,Oncostatin M receptor,20.15,44.11
EVA1C,Eva-1 homolog C,20.14,6.38
SUMO1,Small ubiquitin like modifier 1,20.13,1.51
BPIFB1,BPI fold containing family B member 1,20.05,29.87
FSIP1,Fibrous sheath interacting protein 1,20.05,3.73
UBE2L6,Ubiquitin conjugating enzyme E2 L6,19.96,1.85
IDS,Iduronate 2-sulfatase,19.96,8.28
CCN1,Cellular communication network factor 1,19.96,17.55
PDLIM7,PDZ and LIM domain 7,19.94,0.74
S100A13,S100 calcium binding protein A13,19.93,1.09
EGLN1,Egl-9 family hypoxia inducible factor 1,19.92,4.43
NFKB1,Nuclear factor kappa B subunit 1,19.89,3.02
CRNN,Cornulin,19.84,30.5
CSNK1D,Casein kinase 1 delta,19.84,8.17
RGMA,Repulsive guidance molecule BMP co-receptor a,19.8,33.77
SYK,Spleen associated tyrosine kinase,19.79,0.99
TCN2,Transcobalamin 2,19.78,22.77
UBE2B,Ubiquitin conjugating enzyme E2 B,19.78,7.8
NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,19.75,6.57
GUCA2A,Guanylate cyclase activator 2A,19.75,11.13
CEP104,Centrosomal protein 104,19.73,1.23
PPP1R35,Protein phosphatase 1 regulatory subunit 35,19.72,11.78
FABP4,Fatty acid binding protein 4,19.7,33.85
PALM,Paralemmin,19.67,36.07
NCOA1,Nuclear receptor coactivator 1,19.67,2.68
BPIFA2,BPI fold containing family A member 2,19.61,55.65
YES1,"YES proto-oncogene 1, Src family tyrosine kinase",19.6,0
PPP6R2,Protein phosphatase 6 regulatory subunit 2,19.6,10.29
SPP1,Secreted phosphoprotein 1,19.58,2.07
TGOLN2,Trans-golgi network protein 2,19.55,37.88
LARP1,"La ribonucleoprotein 1, translational regulator",19.54,0.67
SCARF1,Scavenger receptor class F member 1,19.53,15.26
CDA,Cytidine deaminase,19.51,21.78
PCDH7,Protocadherin 7,19.51,18.71
CDH3,Cadherin 3,19.49,27.76
AOC3,Amine oxidase copper containing 3,19.41,41.47
CHM,CHM Rab escort protein,19.38,7.23
NUMBL,NUMB like endocytic adaptor protein,19.37,9.62
AKT2,AKT serine/threonine kinase 2,19.37,4.44
TOR1AIP1,Torsin 1A interacting protein 1,19.35,7.95
FAF2,Fas associated factor family member 2,19.34,8.15
IL15,Interleukin 15,19.31,24.37
TACC3,Transforming acidic coiled-coil containing protein 3,19.29,5.14
ITGAM,Integrin subunit alpha M,19.25,25.71
ATXN3,Ataxin 3,19.24,6.84
SLC38A10,Solute carrier family 38 member 10,19.24,25.94
SMTN,Smoothelin,19.24,0
GCLM,Glutamate-cysteine ligase modifier subunit,19.22,1.86
SUOX,Sulfite oxidase,19.21,21.77
WHAMM,"WASP homolog associated with actin, golgi membranes and microtubules",19.19,4.91
NIT1,Nitrilase 1,19.19,6.63
RASGRP2,RAS guanyl releasing protein 2,19.18,2.3
TJAP1,Tight junction associated protein 1,19.18,0.58
ENY2,ENY2 transcription and export complex 2 subunit,19.17,5.62
L1CAM,L1 cell adhesion molecule,19.15,33.38
NCOA7,Nuclear receptor coactivator 7,19.15,0
EDA2R,Ectodysplasin A2 receptor,19.14,35.5
OVGP1,Oviductal glycoprotein 1,19.11,0
PTEN,Phosphatase and tensin homolog,19.1,0.58
NMT1,N-myristoyltransferase 1,19.09,3.64
TOMM34,Translocase of outer mitochondrial membrane 34,19.09,1.12
CSF1R,Colony stimulating factor 1 receptor,19.06,56.6
LRRFIP1,LRR binding FLII interacting protein 1,19.03,2.1
INHBC,Inhibin subunit beta C,18.99,44.92
PAGR1,PAXIP1 associated glutamate rich protein 1,18.95,7.87
FMNL1,Formin like 1,18.91,7.79
CRISP2,Cysteine rich secretory protein 2,18.89,72.27
CA13,Carbonic anhydrase 13,18.88,3.15
LYSMD3,LysM domain containing 3,18.87,20.95
GNLY,Granulysin,18.86,15.42
RNF214,Ring finger protein 214,18.8,6.87
CD63,CD63 molecule,18.76,18.48
DCN,Decorin,18.73,13.8
CRH,Corticotropin releasing hormone,18.7,26.01
RHOC,Ras homolog family member C,18.69,2.87
ABRAXAS2,"Abraxas 2, BRISC complex subunit",18.69,0
CASC3,CASC3 exon junction complex subunit,18.69,3.47
TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,18.65,0.97
HPD,4-hydroxyphenylpyruvate dioxygenase,18.64,27.99
ACTN2,Actinin alpha 2,18.63,13.65
ZBTB16,Zinc finger and BTB domain containing 16,18.62,5.21
IPCEF1,Interaction protein for cytohesin exchange factors 1,18.6,7.48
CDV3,CDV3 homolog,18.55,3.62
EHD4,EH domain containing 4,18.49,3.33
DUSP3,Dual specificity phosphatase 3,18.49,12.1
MRI1,Methylthioribose-1-phosphate isomerase 1,18.47,13.51
PCSK7,Proprotein convertase subtilisin/kexin type 7,18.46,42.01
SPART,Spartin,18.46,0.76
SNX29,Sorting nexin 29,18.39,0
EIF4E,Eukaryotic translation initiation factor 4E,18.39,1.55
MICAL1,"Microtubule associated monooxygenase, calponin and LIM domain containing 1",18.37,6.94
TNRC6B,Trinucleotide repeat containing adaptor 6B,18.34,3.47
SEPTIN3,Septin 3,18.28,31.77
AAMDC,Adipogenesis associated Mth938 domain containing,18.25,14.42
CTSS,Cathepsin S,18.24,27.32
CKAP5,Cytoskeleton associated protein 5,18.21,2.61
IGSF9,Immunoglobulin superfamily member 9,18.2,35.75
ATP6V0D1,ATPase H+ transporting V0 subunit d1,18.19,11.05
PSG1,Pregnancy specific beta-1-glycoprotein 1,18.19,60.7
PARP10,Poly(ADP-ribose) polymerase family member 10,18.17,7.37
CAPRIN1,Cell cycle associated protein 1,18.15,0
CHGA,Chromogranin A,18.15,17.06
KIF22,Kinesin family member 22,18.08,16.04
RC3H1,Ring finger and CCCH-type domains 1,18.08,1.62
AMN,Amnion associated transmembrane protein,18.06,37.22
NPY,Neuropeptide Y,18.03,24.45
AMOT,Angiomotin,18.02,12.14
GSTA1,Glutathione S-transferase alpha 1,18,20.13
RABL2B,"RAB, member of RAS oncogene family like 2B",17.91,4.77
TOM1L2,Target of myb1 like 2 membrane trafficking protein,17.91,4.13
LTBP2,Latent transforming growth factor beta binding protein 2,17.87,29.78
USP25,Ubiquitin specific peptidase 25,17.84,0
CTBS,Chitobiase,17.83,40.15
IRAK1,Interleukin 1 receptor associated kinase 1,17.83,1.03
CA6,Carbonic anhydrase 6,17.81,56.44
TARBP2,TARBP2 subunit of RISC loading complex,17.8,0
MOCS3,Molybdenum cofactor synthesis 3,17.77,6.95
INHBB,Inhibin subunit beta B,17.73,20.77
TBC1D17,TBC1 domain family member 17,17.72,2.2
BLOC1S5,Biogenesis of lysosomal organelles complex 1 subunit 5,17.72,24.62
PTRHD1,Peptidyl-tRNA hydrolase domain containing 1,17.68,2.14
EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,17.68,0
GPR158,G protein-coupled receptor 158,17.66,0
NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,17.65,2.11
SHMT1,Serine hydroxymethyltransferase 1,17.65,22.95
DCTN2,Dynactin subunit 2,17.63,0
WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",17.61,33.86
SAT2,Spermidine/spermine N1-acetyltransferase family member 2,17.6,31.96
DFFA,DNA fragmentation factor subunit alpha,17.59,5.11
WIF1,WNT inhibitory factor 1,17.57,26.24
FMNL3,Formin like 3,17.56,3.31
CDHR2,Cadherin related family member 2,17.56,32.84
CA3,Carbonic anhydrase 3,17.54,11.07
NT5C3A,"5'-nucleotidase, cytosolic IIIA",17.52,3.13
CELA2A,Chymotrypsin like elastase 2A,17.52,49.59
DTD1,D-aminoacyl-tRNA deacylase 1,17.45,5.31
PEAR1,Platelet endothelial aggregation receptor 1,17.44,28.09
PRG2,"Proteoglycan 2, pro eosinophil major basic protein",17.42,26.22
GLRX,Glutaredoxin,17.42,0.39
PEBP1,Phosphatidylethanolamine binding protein 1,17.4,1.72
SNRK,SNF related kinase,17.4,9.86
OCLN,Occludin,17.39,5.77
ASAH2,N-acylsphingosine amidohydrolase 2,17.38,46.95
MRPL58,Mitochondrial ribosomal protein L58,17.37,4.57
PKN3,Protein kinase N3,17.37,12.84
MAP7,Microtubule associated protein 7,17.36,13.87
FLRT2,Fibronectin leucine rich transmembrane protein 2,17.35,47.89
PRKAB1,Protein kinase AMP-activated non-catalytic subunit beta 1,17.29,6.23
SPARC,Secreted protein acidic and cysteine rich,17.28,28.5
PACSIN3,Protein kinase C and casein kinase substrate in neurons 3,17.27,0
MANF,Mesencephalic astrocyte derived neurotrophic factor,17.24,2.01
TNFSF11,TNF superfamily member 11,17.21,29.54
C7orf25,Chromosome 7 open reading frame 25,17.21,3.55
ADAM15,ADAM metallopeptidase domain 15,17.14,40.12
NOTCH1,Notch receptor 1,17.14,33.11
DNAJC9,DnaJ heat shock protein family (Hsp40) member C9,17.13,0.51
CLC,Charcot-Leyden crystal galectin,17.08,9.76
PLPBP,Pyridoxal phosphate binding protein,17.01,2.31
CTF1,Cardiotrophin 1,16.96,21.91
ANKS1A,Ankyrin repeat and sterile alpha motif domain containing 1A,16.96,2.1
TTC32,Tetratricopeptide repeat domain 32,16.93,7.44
EVI5L,Ecotropic viral integration site 5 like,16.92,4.65
DRAXIN,Dorsal inhibitory axon guidance protein,16.91,15.87
ARHGEF1,Rho guanine nucleotide exchange factor 1,16.9,4.06
MESD,Mesoderm development LRP chaperone,16.88,2.07
PROC,"Protein C, inactivator of coagulation factors Va and VIIIa",16.88,32.68
UNC79,"Unc-79 homolog, NALCN channel complex subunit",16.83,9.35
PTGES3L,Prostaglandin E synthase 3 like,16.83,8.56
NAP1L4,Nucleosome assembly protein 1 like 4,16.82,1.33
OGA,O-GlcNAcase,16.81,2.14
ERF,ETS2 repressor factor,16.79,2.12
LYZL2,Lysozyme like 2,16.76,17.06
ANGPT2,Angiopoietin 2,16.72,28.86
CTH,Cystathionine gamma-lyase,16.71,11.48
NBEA,Neurobeachin,16.7,8.3
PUDP,Pseudouridine 5'-phosphatase,16.68,4.96
PGLYRP1,Peptidoglycan recognition protein 1,16.66,34.56
CLASP1,Cytoplasmic linker associated protein 1,16.65,0
DYNLT1,Dynein light chain Tctex-type 1,16.65,9.52
PRXL2B,Peroxiredoxin like 2B,16.63,4.25
MEGF11,Multiple EGF like domains 11,16.6,0
STAT5B,Signal transducer and activator of transcription 5B,16.58,2.33
SCAMP2,Secretory carrier membrane protein 2,16.54,8.64
NAGA,Alpha-N-acetylgalactosaminidase,16.53,17.11
PSMG3,Proteasome assembly chaperone 3,16.48,0.97
TRIM21,Tripartite motif containing 21,16.47,4.36
PPL,Periplakin,16.46,10.13
DPY30,Dpy-30 histone methyltransferase complex regulatory subunit,16.45,14.58
SHBG,Sex hormone binding globulin,16.44,18.01
CFAP45,Cilia and flagella associated protein 45,16.43,2.06
OTUD6B,OTU deubiquitinase 6B,16.41,0.16
TREML2,Triggering receptor expressed on myeloid cells like 2,16.41,47.92
INPP1,Inositol polyphosphate-1-phosphatase,16.34,11.22
GP6,Glycoprotein VI platelet,16.25,1.62
SIGLEC6,Sialic acid binding Ig like lectin 6,16.24,59.91
PRDX3,Peroxiredoxin 3,16.22,7.69
KRT18,Keratin 18,16.22,19.58
SLITRK2,SLIT and NTRK like family member 2,16.19,41.81
FLT1,Fms related receptor tyrosine kinase 1,16.17,28.73
TPSD1,Tryptase delta 1,16.11,30.46
PLA2G7,Phospholipase A2 group VII,16.09,45
PYM1,"PYM homolog 1, exon junction complex associated factor",16.08,5.65
PRKCI,Protein kinase C iota,16.07,8.15
LZTS1,Leucine zipper tumor suppressor 1,16.06,29.71
IL17RB,Interleukin 17 receptor B,16.02,55.35
SMOX,Spermine oxidase,16,11.06
IFT20,Intraflagellar transport 20,15.94,7.54
CDKN2D,Cyclin dependent kinase inhibitor 2D,15.89,3.85
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",15.87,5.04
CASP2,Caspase 2,15.87,2.19
F11,Coagulation factor XI,15.86,49.16
CIRBP,Cold inducible RNA binding protein,15.85,1.59
GADD45GIP1,GADD45G interacting protein 1,15.84,9.12
GRK5,G protein-coupled receptor kinase 5,15.84,7.98
XIAP,X-linked inhibitor of apoptosis,15.81,4.79
