Gene,Gene description,Concentration
BMP1,Bone morphogenetic protein 1,9.4 µg/L
COL14A1,Collagen type XIV alpha 1 chain,9.4 µg/L
SCARF1,Scavenger receptor class F member 1,9.3 µg/L
ACO1,Aconitase 1,9.3 µg/L
CAPNS1,Calpain small subunit 1,9.3 µg/L
ATP5F1A,ATP synthase F1 subunit alpha,9.3 µg/L
PLXDC1,Plexin domain containing 1,9.3 µg/L
S100A4,S100 calcium binding protein A4,9.3 µg/L
LEP,Leptin,9.2 µg/L
SH3PXD2A,SH3 and PX domains 2A,9.1 µg/L
EPX,Eosinophil peroxidase,9.1 µg/L
CLSTN3,Calsyntenin 3,9.1 µg/L
GYPA,Glycophorin A (MNS blood group),9.1 µg/L
ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,9.0 µg/L
CAPZB,Capping actin protein of muscle Z-line subunit beta,9.0 µg/L
KLK3,Kallikrein related peptidase 3,9.0 µg/L
EPB41,Erythrocyte membrane protein band 4.1,9.0 µg/L
KRTAP4-6,Keratin associated protein 4-6,9.0 µg/L
MAN2B2,Mannosidase alpha class 2B member 2,8.9 µg/L
PSMD3,"Proteasome 26S subunit, non-ATPase 3",8.9 µg/L
NTRK3,Neurotrophic receptor tyrosine kinase 3,8.9 µg/L
SCGB1A1,Secretoglobin family 1A member 1,8.9 µg/L
PRF1,Perforin 1,8.9 µg/L
ECM2,Extracellular matrix protein 2,8.8 µg/L
ART4,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group),8.8 µg/L
CTSF,Cathepsin F,8.8 µg/L
DBI,"Diazepam binding inhibitor, acyl-CoA binding protein",8.7 µg/L
CBR1,Carbonyl reductase 1,8.7 µg/L
HPRT1,Hypoxanthine phosphoribosyltransferase 1,8.7 µg/L
ACAT2,Acetyl-CoA acetyltransferase 2,8.6 µg/L
MANF,Mesencephalic astrocyte derived neurotrophic factor,8.6 µg/L
SDK1,Sidekick cell adhesion molecule 1,8.6 µg/L
APEH,Acylaminoacyl-peptide hydrolase,8.5 µg/L
TYRO3,TYRO3 protein tyrosine kinase,8.4 µg/L
NELL2,Neural EGFL like 2,8.4 µg/L
GNAI2,G protein subunit alpha i2,8.3 µg/L
CPS1,Carbamoyl-phosphate synthase 1,8.2 µg/L
EHD1,EH domain containing 1,8.2 µg/L
GPR37,G protein-coupled receptor 37,8.2 µg/L
CDH11,Cadherin 11,8.1 µg/L
LILRA4,Leukocyte immunoglobulin like receptor A4,8.1 µg/L
CNN2,Calponin 2,8.0 µg/L
TEK,TEK receptor tyrosine kinase,8.0 µg/L
NECTIN2,Nectin cell adhesion molecule 2,8.0 µg/L
FOLR2,Folate receptor beta,8.0 µg/L
PNLIP,Pancreatic lipase,8.0 µg/L
FAM20B,FAM20B glycosaminoglycan xylosylkinase,7.9 µg/L
PSMB2,Proteasome 20S subunit beta 2,7.9 µg/L
IL18BP,Interleukin 18 binding protein,7.9 µg/L
EGF,Epidermal growth factor,7.9 µg/L
ANTXR2,ANTXR cell adhesion molecule 2,7.8 µg/L
ARPC2,Actin related protein 2/3 complex subunit 2,7.8 µg/L
IL5RA,Interleukin 5 receptor subunit alpha,7.7 µg/L
PSME1,Proteasome activator subunit 1,7.7 µg/L
PLIN3,Perilipin 3,7.7 µg/L
LEPR,Leptin receptor,7.7 µg/L
FSTL3,Follistatin like 3,7.6 µg/L
PRR4,Proline rich 4,7.6 µg/L
PKLR,Pyruvate kinase L/R,7.6 µg/L
MUC7,"Mucin 7, secreted",7.6 µg/L
HGF,Hepatocyte growth factor,7.5 µg/L
GBE1,"1,4-alpha-glucan branching enzyme 1",7.5 µg/L
PRDX5,Peroxiredoxin 5,7.5 µg/L
PGLS,6-phosphogluconolactonase,7.5 µg/L
PMEL,Premelanosome protein,7.5 µg/L
CLIC4,Chloride intracellular channel 4,7.4 µg/L
ARHGAP1,Rho GTPase activating protein 1,7.4 µg/L
SCIN,Scinderin,7.3 µg/L
MUC5B,"Mucin 5B, oligomeric mucus/gel-forming",7.3 µg/L
TREH,Trehalase,7.3 µg/L
PXDN,Peroxidasin,7.3 µg/L
LRPAP1,LDL receptor related protein associated protein 1,7.3 µg/L
RAB1B,"RAB1B, member RAS oncogene family",7.3 µg/L
HNRNPA2B1,Heterogeneous nuclear ribonucleoprotein A2/B1,7.2 µg/L
NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,7.2 µg/L
FBN2,Fibrillin 2,7.2 µg/L
KLK13,Kallikrein related peptidase 13,7.2 µg/L
PRSS27,Serine protease 27,7.2 µg/L
RNPEP,Arginyl aminopeptidase,7.2 µg/L
TKFC,Triokinase and FMN cyclase,7.1 µg/L
PLA2R1,Phospholipase A2 receptor 1,7.1 µg/L
TPP1,Tripeptidyl peptidase 1,7.1 µg/L
SEMA3F,Semaphorin 3F,7.0 µg/L
CDH17,Cadherin 17,7.0 µg/L
ADAM23,ADAM metallopeptidase domain 23,7.0 µg/L
QSOX2,Quiescin sulfhydryl oxidase 2,7.0 µg/L
PLEC,Plectin,7.0 µg/L
GP1BB,Glycoprotein Ib platelet subunit beta,7.0 µg/L
CHGB,Chromogranin B,6.8 µg/L
PTPRZ1,Protein tyrosine phosphatase receptor type Z1,6.8 µg/L
THY1,Thy-1 cell surface antigen,6.8 µg/L
LMNA,Lamin A/C,6.8 µg/L
PYGM,"Glycogen phosphorylase, muscle associated",6.7 µg/L
ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,6.7 µg/L
PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",6.7 µg/L
CD36,CD36 molecule,6.7 µg/L
ANXA3,Annexin A3,6.7 µg/L
INS,Insulin,6.7 µg/L
EMILIN1,Elastin microfibril interfacer 1,6.6 µg/L
IVL,Involucrin,6.6 µg/L
AZU1,Azurocidin 1,6.6 µg/L
IGKV5-2,Immunoglobulin kappa variable 5-2,6.6 µg/L
CACNA2D2,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,6.5 µg/L
PSMB5,Proteasome 20S subunit beta 5,6.5 µg/L
NME3,NME/NM23 nucleoside diphosphate kinase 3,6.5 µg/L
GALNT7,Polypeptide N-acetylgalactosaminyltransferase 7,6.5 µg/L
SDC4,Syndecan 4,6.5 µg/L
DSC3,Desmocollin 3,6.5 µg/L
ENDOD1,Endonuclease domain containing 1,6.5 µg/L
IFITM2,Interferon induced transmembrane protein 2,6.5 µg/L
MYO1C,Myosin IC,6.5 µg/L
TNFRSF1B,TNF receptor superfamily member 1B,6.4 µg/L
RCN1,Reticulocalbin 1,6.4 µg/L
PIK3IP1,Phosphoinositide-3-kinase interacting protein 1,6.4 µg/L
GAA,Alpha glucosidase,6.4 µg/L
ARPC4,Actin related protein 2/3 complex subunit 4,6.4 µg/L
HMBS,Hydroxymethylbilane synthase,6.4 µg/L
RAB27B,"RAB27B, member RAS oncogene family",6.3 µg/L
AHCY,Adenosylhomocysteinase,6.3 µg/L
SERPINB12,Serpin family B member 12,6.3 µg/L
KLK7,Kallikrein related peptidase 7,6.3 µg/L
CSF2RA,Colony stimulating factor 2 receptor subunit alpha,6.3 µg/L
TXNDC5,Thioredoxin domain containing 5,6.3 µg/L
ERP44,Endoplasmic reticulum protein 44,6.2 µg/L
AKR1A1,Aldo-keto reductase family 1 member A1,6.2 µg/L
UBE2L3,Ubiquitin conjugating enzyme E2 L3,6.2 µg/L
RAB1A,"RAB1A, member RAS oncogene family",6.1 µg/L
GFRA2,GDNF family receptor alpha 2,6.1 µg/L
RNASE6,Ribonuclease A family member k6,6.1 µg/L
TXNRD1,Thioredoxin reductase 1,6.1 µg/L
GCLC,Glutamate-cysteine ligase catalytic subunit,6.0 µg/L
PLXNA2,Plexin A2,6.0 µg/L
NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,6.0 µg/L
IDH2,Isocitrate dehydrogenase (NADP(+)) 2,6.0 µg/L
SEMA4D,Semaphorin 4D,6.0 µg/L
HEPH,Hephaestin,5.9 µg/L
FOLR3,Folate receptor gamma,5.9 µg/L
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,5.9 µg/L
FTO,FTO alpha-ketoglutarate dependent dioxygenase,5.9 µg/L
LPP,LIM domain containing preferred translocation partner in lipoma,5.9 µg/L
ANXA5,Annexin A5,5.9 µg/L
HNRNPK,Heterogeneous nuclear ribonucleoprotein K,5.9 µg/L
CASP14,Caspase 14,5.8 µg/L
MACROH2A1,MacroH2A.1 histone,5.8 µg/L
CD58,CD58 molecule,5.8 µg/L
AKAP12,A-kinase anchoring protein 12,5.8 µg/L
S100A12,S100 calcium binding protein A12,5.8 µg/L
ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5 (inactive),5.8 µg/L
NAP1L4,Nucleosome assembly protein 1 like 4,5.8 µg/L
VAMP2,Vesicle associated membrane protein 2,5.8 µg/L
PTPN6,Protein tyrosine phosphatase non-receptor type 6,5.7 µg/L
SERPINB9,Serpin family B member 9,5.7 µg/L
SEZ6L2,Seizure related 6 homolog like 2,5.7 µg/L
PPIE,Peptidylprolyl isomerase E,5.6 µg/L
CD101,CD101 molecule,5.6 µg/L
DBNL,Drebrin like,5.6 µg/L
PAMR1,Peptidase domain containing associated with muscle regeneration 1,5.6 µg/L
CES2,Carboxylesterase 2,5.6 µg/L
CCL15,C-C motif chemokine ligand 15,5.6 µg/L
OTC,Ornithine transcarbamylase,5.5 µg/L
MSTN,Myostatin,5.5 µg/L
SCGB3A1,Secretoglobin family 3A member 1,5.5 µg/L
RNASE7,Ribonuclease A family member 7,5.5 µg/L
LRRC25,Leucine rich repeat containing 25,5.5 µg/L
CAND1,Cullin associated and neddylation dissociated 1,5.4 µg/L
DNPEP,Aspartyl aminopeptidase,5.4 µg/L
PSMB7,Proteasome 20S subunit beta 7,5.4 µg/L
CHRDL2,Chordin like 2,5.3 µg/L
RAD23B,"RAD23 homolog B, nucleotide excision repair protein",5.3 µg/L
SEPTIN7,Septin 7,5.3 µg/L
SFTPD,Surfactant protein D,5.3 µg/L
ABRACL,ABRA C-terminal like,5.3 µg/L
CSTB,Cystatin B,5.3 µg/L
MYL3,Myosin light chain 3,5.3 µg/L
EIF4A1,Eukaryotic translation initiation factor 4A1,5.3 µg/L
RAB8B,"RAB8B, member RAS oncogene family",5.3 µg/L
ECI1,Enoyl-CoA delta isomerase 1,5.3 µg/L
LGALSL,Galectin like,5.2 µg/L
ANKRD2,Ankyrin repeat domain 2,5.2 µg/L
PRNP,Prion protein,5.2 µg/L
LGALS7B,Galectin 7B,5.2 µg/L
PARVA,Parvin alpha,5.2 µg/L
LGALS7,Galectin 7,5.2 µg/L
DCBLD2,"Discoidin, CUB and LCCL domain containing 2",5.1 µg/L
CGREF1,Cell growth regulator with EF-hand domain 1,5.1 µg/L
MYL4,Myosin light chain 4,5.1 µg/L
LAP3,Leucine aminopeptidase 3,5.0 µg/L
SDK2,Sidekick cell adhesion molecule 2,5.0 µg/L
TRHDE,Thyrotropin releasing hormone degrading enzyme,5.0 µg/L
SEZ6L,Seizure related 6 homolog like,5.0 µg/L
SFRP5,Secreted frizzled related protein 5,5.0 µg/L
CPM,Carboxypeptidase M,5.0 µg/L
PIP4K2A,Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,5.0 µg/L
ITGB2,Integrin subunit beta 2,5.0 µg/L
S100A11,S100 calcium binding protein A11,5.0 µg/L
CST1,Cystatin SN,5.0 µg/L
CAPZA2,Capping actin protein of muscle Z-line subunit alpha 2,5.0 µg/L
CAPG,"Capping actin protein, gelsolin like",4.9 µg/L
SLC2A3,Solute carrier family 2 member 3,4.9 µg/L
HSPA9,Heat shock protein family A (Hsp70) member 9,4.9 µg/L
DSTN,"Destrin, actin depolymerizing factor",4.9 µg/L
STATH,Statherin,4.9 µg/L
BOC,"BOC cell adhesion associated, oncogene regulated",4.9 µg/L
RAB8A,"RAB8A, member RAS oncogene family",4.9 µg/L
KLK8,Kallikrein related peptidase 8,4.8 µg/L
CASQ1,Calsequestrin 1,4.8 µg/L
CDH8,Cadherin 8,4.8 µg/L
TFF3,Trefoil factor 3,4.8 µg/L
PLD4,Phospholipase D family member 4,4.8 µg/L
EFEMP2,EGF containing fibulin extracellular matrix protein 2,4.8 µg/L
S100A6,S100 calcium binding protein A6,4.8 µg/L
TSPAN9,Tetraspanin 9,4.7 µg/L
NENF,Neudesin neurotrophic factor,4.7 µg/L
CEACAM8,CEA cell adhesion molecule 8,4.7 µg/L
ADGRL4,Adhesion G protein-coupled receptor L4,4.7 µg/L
ITLN1,Intelectin 1,4.7 µg/L
DPP3,Dipeptidyl peptidase 3,4.7 µg/L
ITGAL,Integrin subunit alpha L,4.6 µg/L
SEMA3G,Semaphorin 3G,4.6 µg/L
FYB1,FYN binding protein 1,4.6 µg/L
RAB10,"RAB10, member RAS oncogene family",4.6 µg/L
CLPS,Colipase,4.6 µg/L
NRGN,Neurogranin,4.6 µg/L
FGFR4,Fibroblast growth factor receptor 4,4.6 µg/L
IGLV5-52,Immunoglobulin lambda variable 5-52,4.6 µg/L
C4orf48,Chromosome 4 open reading frame 48,4.6 µg/L
NGFR,Nerve growth factor receptor,4.5 µg/L
EFNB1,Ephrin B1,4.5 µg/L
SUSD2,Sushi domain containing 2,4.5 µg/L
ARSA,Arylsulfatase A,4.5 µg/L
PSME2,Proteasome activator subunit 2,4.5 µg/L
IL1RL1,Interleukin 1 receptor like 1,4.5 µg/L
CTHRC1,Collagen triple helix repeat containing 1,4.5 µg/L
PDCD6IP,Programmed cell death 6 interacting protein,4.5 µg/L
GAS6,Growth arrest specific 6,4.5 µg/L
CBLN1,Cerebellin 1 precursor,4.4 µg/L
LNPEP,Leucyl and cystinyl aminopeptidase,4.4 µg/L
MMP19,Matrix metallopeptidase 19,4.4 µg/L
LCN1,Lipocalin 1,4.4 µg/L
ADH5,"Alcohol dehydrogenase 5 (class III), chi polypeptide",4.4 µg/L
SLC1A3,Solute carrier family 1 member 3,4.3 µg/L
APLP2,Amyloid beta precursor like protein 2,4.3 µg/L
PTGS1,Prostaglandin-endoperoxide synthase 1,4.3 µg/L
VSIR,V-set immunoregulatory receptor,4.3 µg/L
LRRC59,Leucine rich repeat containing 59,4.3 µg/L
FKBP11,FKBP prolyl isomerase 11,4.3 µg/L
C16orf89,Chromosome 16 open reading frame 89,4.3 µg/L
STIP1,Stress induced phosphoprotein 1,4.3 µg/L
GP9,Glycoprotein IX platelet,4.3 µg/L
MUC1,"Mucin 1, cell surface associated",4.3 µg/L
MSMB,Microseminoprotein beta,4.3 µg/L
SCG3,Secretogranin III,4.2 µg/L
ARPC3,Actin related protein 2/3 complex subunit 3,4.2 µg/L
SDC1,Syndecan 1,4.2 µg/L
RAC2,Rac family small GTPase 2,4.2 µg/L
CELA2A,Chymotrypsin like elastase 2A,4.2 µg/L
G6PD,Glucose-6-phosphate dehydrogenase,4.2 µg/L
OPCML,Opioid binding protein/cell adhesion molecule like,4.2 µg/L
PABPC1,Poly(A) binding protein cytoplasmic 1,4.1 µg/L
GGT1,Gamma-glutamyltransferase 1,4.1 µg/L
USP14,Ubiquitin specific peptidase 14,4.1 µg/L
OLFM2,Olfactomedin 2,4.1 µg/L
CSF3R,Colony stimulating factor 3 receptor,4.1 µg/L
FABP3,Fatty acid binding protein 3,4.1 µg/L
ASS1,Argininosuccinate synthase 1,4.1 µg/L
GLRX,Glutaredoxin,4.1 µg/L
EEF1G,Eukaryotic translation elongation factor 1 gamma,4.1 µg/L
FSCN1,Fascin actin-bundling protein 1,4.0 µg/L
CADM4,Cell adhesion molecule 4,4.0 µg/L
UGGT1,UDP-glucose glycoprotein glucosyltransferase 1,4.0 µg/L
DPT,Dermatopontin,4.0 µg/L
LECT2,Leukocyte cell derived chemotaxin 2,4.0 µg/L
CCT6A,Chaperonin containing TCP1 subunit 6A,4.0 µg/L
NBL1,"NBL1, DAN family BMP antagonist",4.0 µg/L
FCMR,Fc mu receptor,4.0 µg/L
FTH1,Ferritin heavy chain 1,4.0 µg/L
GFM1,G elongation factor mitochondrial 1,4.0 µg/L
ROR1,Receptor tyrosine kinase like orphan receptor 1,4.0 µg/L
COL11A2,Collagen type XI alpha 2 chain,4.0 µg/L
TWF2,Twinfilin actin binding protein 2,4.0 µg/L
ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",3.9 µg/L
GNB1,G protein subunit beta 1,3.9 µg/L
PCDHB15,Protocadherin beta 15,3.9 µg/L
CRYZ,Crystallin zeta,3.9 µg/L
SERPINB6,Serpin family B member 6,3.9 µg/L
CCT7,Chaperonin containing TCP1 subunit 7,3.9 µg/L
TAGLN,Transgelin,3.9 µg/L
CAPN2,Calpain 2,3.9 µg/L
RDH11,Retinol dehydrogenase 11,3.8 µg/L
RAB35,"RAB35, member RAS oncogene family",3.8 µg/L
OLFML3,Olfactomedin like 3,3.8 µg/L
PCMT1,Protein-L-isoaspartate (D-aspartate) O-methyltransferase,3.8 µg/L
ADGRE5,Adhesion G protein-coupled receptor E5,3.8 µg/L
GALNT6,Polypeptide N-acetylgalactosaminyltransferase 6,3.8 µg/L
FCAMR,Fc alpha and mu receptor,3.8 µg/L
GPD1,Glycerol-3-phosphate dehydrogenase 1,3.8 µg/L
RGMB,Repulsive guidance molecule BMP co-receptor b,3.8 µg/L
GPX1,Glutathione peroxidase 1,3.8 µg/L
ATE1,Arginyltransferase 1,3.7 µg/L
MLEC,Malectin,3.7 µg/L
RAB14,"RAB14, member RAS oncogene family",3.7 µg/L
SLURP1,Secreted LY6/PLAUR domain containing 1,3.7 µg/L
KLK10,Kallikrein related peptidase 10,3.7 µg/L
RAN,"RAN, member RAS oncogene family",3.7 µg/L
CNTN6,Contactin 6,3.7 µg/L
GFRA3,GDNF family receptor alpha 3,3.7 µg/L
MIA3,MIA SH3 domain ER export factor 3,3.7 µg/L
KLK5,Kallikrein related peptidase 5,3.7 µg/L
AHSP,Alpha hemoglobin stabilizing protein,3.7 µg/L
NSFL1C,NSFL1 cofactor,3.6 µg/L
ITGA6,Integrin subunit alpha 6,3.6 µg/L
CDH23,Cadherin related 23,3.6 µg/L
SEMG1,Semenogelin 1,3.6 µg/L
MPST,Mercaptopyruvate sulfurtransferase,3.6 µg/L
BST2,Bone marrow stromal cell antigen 2,3.6 µg/L
ACLY,ATP citrate lyase,3.6 µg/L
RAC1,Rac family small GTPase 1,3.6 µg/L
CCN3,Cellular communication network factor 3,3.6 µg/L
RPLP1,Ribosomal protein lateral stalk subunit P1,3.6 µg/L
TMEM25,Transmembrane protein 25,3.6 µg/L
GLOD4,Glyoxalase domain containing 4,3.6 µg/L
PRL,Prolactin,3.6 µg/L
SLC9A9,Solute carrier family 9 member A9,3.6 µg/L
GZMM,Granzyme M,3.6 µg/L
CD244,CD244 molecule,3.5 µg/L
NPEPPS,Aminopeptidase puromycin sensitive,3.5 µg/L
CCT8,Chaperonin containing TCP1 subunit 8,3.5 µg/L
IGSF8,Immunoglobulin superfamily member 8,3.5 µg/L
VAMP5,Vesicle associated membrane protein 5,3.5 µg/L
SNCB,Synuclein beta,3.4 µg/L
DNM1L,Dynamin 1 like,3.4 µg/L
SRPX,Sushi repeat containing protein X-linked,3.4 µg/L
TCP1,T-complex 1,3.4 µg/L
TCN1,Transcobalamin 1,3.4 µg/L
DMTN,Dematin actin binding protein,3.4 µg/L
CCT2,Chaperonin containing TCP1 subunit 2,3.4 µg/L
MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",3.4 µg/L
PA2G4,Proliferation-associated 2G4,3.4 µg/L
TSKU,"Tsukushi, small leucine rich proteoglycan",3.4 µg/L
MIF,Macrophage migration inhibitory factor,3.4 µg/L
FCER2,Fc epsilon receptor II,3.3 µg/L
LSR,Lipolysis stimulated lipoprotein receptor,3.3 µg/L
SEMA4A,Semaphorin 4A,3.3 µg/L
MMP25,Matrix metallopeptidase 25,3.2 µg/L
ACAA1,Acetyl-CoA acyltransferase 1,3.2 µg/L
ME1,Malic enzyme 1,3.2 µg/L
CTSG,Cathepsin G,3.2 µg/L
VAT1,Vesicle amine transport 1,3.2 µg/L
PTPA,Protein phosphatase 2 phosphatase activator,3.2 µg/L
SEMG2,Semenogelin 2,3.2 µg/L
COL2A1,Collagen type II alpha 1 chain,3.2 µg/L
INHBE,Inhibin subunit beta E,3.2 µg/L
TINAGL1,Tubulointerstitial nephritis antigen like 1,3.2 µg/L
NAPRT,Nicotinate phosphoribosyltransferase,3.2 µg/L
NEXN,Nexilin F-actin binding protein,3.2 µg/L
FAM234A,Family with sequence similarity 234 member A,3.2 µg/L
TBCA,Tubulin folding cofactor A,3.2 µg/L
RAD23A,"RAD23 homolog A, nucleotide excision repair protein",3.2 µg/L
ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",3.1 µg/L
DPYSL2,Dihydropyrimidinase like 2,3.1 µg/L
ACP5,"Acid phosphatase 5, tartrate resistant",3.1 µg/L
DNAJC3,DnaJ heat shock protein family (Hsp40) member C3,3.1 µg/L
UROD,Uroporphyrinogen decarboxylase,3.1 µg/L
ARRB1,Arrestin beta 1,3.1 µg/L
LRRC32,Leucine rich repeat containing 32,3.1 µg/L
OLA1,Obg like ATPase 1,3.1 µg/L
CLMP,CXADR like membrane protein,3.1 µg/L
PPIC,Peptidylprolyl isomerase C,3.1 µg/L
ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,3.1 µg/L
PCDH9,Protocadherin 9,3.1 µg/L
FAT4,FAT atypical cadherin 4,3.1 µg/L
SCARF2,Scavenger receptor class F member 2,3.1 µg/L
CRTAM,Cytotoxic and regulatory T cell molecule,3.0 µg/L
PRDX4,Peroxiredoxin 4,3.0 µg/L
DCXR,Dicarbonyl and L-xylulose reductase,3.0 µg/L
KRTAP4-8,Keratin associated protein 4-8,3.0 µg/L
GH1,Growth hormone 1,3.0 µg/L
TMEM132A,Transmembrane protein 132A,2.9 µg/L
CRISP2,Cysteine rich secretory protein 2,2.9 µg/L
LAMA5,Laminin subunit alpha 5,2.9 µg/L
PSMB6,Proteasome 20S subunit beta 6,2.9 µg/L
MTDH,Metadherin,2.9 µg/L
CDA,Cytidine deaminase,2.9 µg/L
ENPP6,Ectonucleotide pyrophosphatase/phosphodiesterase 6,2.9 µg/L
PRELP,Proline and arginine rich end leucine rich repeat protein,2.9 µg/L
LORICRIN,Loricrin cornified envelope precursor protein,2.9 µg/L
ERVMER34-1,"Endogenous retrovirus group MER34 member 1, envelope",2.9 µg/L
CD9,CD9 molecule,2.8 µg/L
ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",2.8 µg/L
CDC42,Cell division cycle 42,2.8 µg/L
CST4,Cystatin S,2.8 µg/L
FMOD,Fibromodulin,2.8 µg/L
TWSG1,Twisted gastrulation BMP signaling modulator 1,2.8 µg/L
DIAPH1,Diaphanous related formin 1,2.8 µg/L
RIDA,Reactive intermediate imine deaminase A homolog,2.8 µg/L
TPT1,"Tumor protein, translationally-controlled 1",2.8 µg/L
ITM2B,Integral membrane protein 2B,2.8 µg/L
TNFRSF11A,TNF receptor superfamily member 11a,2.8 µg/L
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,2.8 µg/L
HSPA13,Heat shock protein family A (Hsp70) member 13,2.8 µg/L
PM20D1,Peptidase M20 domain containing 1,2.8 µg/L
GNB2,G protein subunit beta 2,2.8 µg/L
AGXT,Alanine--glyoxylate aminotransferase,2.8 µg/L
ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,2.8 µg/L
ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase 1,2.8 µg/L
ITGA3,Integrin subunit alpha 3,2.7 µg/L
NTN1,Netrin 1,2.7 µg/L
MYDGF,Myeloid derived growth factor,2.7 µg/L
MXRA5,Matrix remodeling associated 5,2.7 µg/L
NUTF2,Nuclear transport factor 2,2.7 µg/L
ABHD14B,Abhydrolase domain containing 14B,2.7 µg/L
SEPTIN6,Septin 6,2.7 µg/L
PCDH1,Protocadherin 1,2.7 µg/L
CCT3,Chaperonin containing TCP1 subunit 3,2.7 µg/L
SERPINA12,Serpin family A member 12,2.7 µg/L
ACAA2,Acetyl-CoA acyltransferase 2,2.7 µg/L
PCDH7,Protocadherin 7,2.7 µg/L
PPP1CA,Protein phosphatase 1 catalytic subunit alpha,2.7 µg/L
SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",2.7 µg/L
LRP2,LDL receptor related protein 2,2.6 µg/L
MTAP,Methylthioadenosine phosphorylase,2.6 µg/L
SUN2,Sad1 and UNC84 domain containing 2,2.6 µg/L
MAN2B1,Mannosidase alpha class 2B member 1,2.6 µg/L
KPNB1,Karyopherin subunit beta 1,2.6 µg/L
SORD,Sorbitol dehydrogenase,2.6 µg/L
ANP32A,Acidic nuclear phosphoprotein 32 family member A,2.6 µg/L
FBN3,Fibrillin 3,2.6 µg/L
VLDLR,Very low density lipoprotein receptor,2.6 µg/L
NRXN1,Neurexin 1,2.6 µg/L
NPM1,Nucleophosmin 1,2.6 µg/L
SND1,Staphylococcal nuclease and tudor domain containing 1,2.6 µg/L
SH3BGRL2,SH3 domain binding glutamate rich protein like 2,2.6 µg/L
PPP1CB,Protein phosphatase 1 catalytic subunit beta,2.6 µg/L
ARF5,ADP ribosylation factor 5,2.5 µg/L
PRSS8,Serine protease 8,2.5 µg/L
LXN,Latexin,2.5 µg/L
CPD,Carboxypeptidase D,2.5 µg/L
CSE1L,Chromosome segregation 1 like,2.5 µg/L
TRAP1,TNF receptor associated protein 1,2.5 µg/L
GMFG,Glia maturation factor gamma,2.5 µg/L
CNDP2,Carnosine dipeptidase 2,2.5 µg/L
CNTNAP4,Contactin associated protein family member 4,2.5 µg/L
EIF4A2,Eukaryotic translation initiation factor 4A2,2.5 µg/L
FDPS,Farnesyl diphosphate synthase,2.5 µg/L
HK3,Hexokinase 3,2.5 µg/L
ARPC5,Actin related protein 2/3 complex subunit 5,2.5 µg/L
PTX3,Pentraxin 3,2.5 µg/L
FASN,Fatty acid synthase,2.5 µg/L
GGCT,Gamma-glutamylcyclotransferase,2.4 µg/L
PKD1,"Polycystin 1, transient receptor potential channel interacting",2.4 µg/L
CEMIP,Cell migration inducing hyaluronidase 1,2.4 µg/L
IL27RA,Interleukin 27 receptor subunit alpha,2.4 µg/L
TREML2,Triggering receptor expressed on myeloid cells like 2,2.4 µg/L
SPTBN1,"Spectrin beta, non-erythrocytic 1",2.4 µg/L
RTN4,Reticulon 4,2.4 µg/L
SLC2A1,Solute carrier family 2 member 1,2.4 µg/L
COL4A2,Collagen type IV alpha 2 chain,2.4 µg/L
PSAT1,Phosphoserine aminotransferase 1,2.4 µg/L
NECTIN4,Nectin cell adhesion molecule 4,2.4 µg/L
ILF2,Interleukin enhancer binding factor 2,2.4 µg/L
RAB6B,"RAB6B, member RAS oncogene family",2.4 µg/L
SHH,Sonic hedgehog signaling molecule,2.4 µg/L
MYLK,Myosin light chain kinase,2.3 µg/L
PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",2.3 µg/L
SYTL4,Synaptotagmin like 4,2.3 µg/L
SLC9A3R1,SLC9A3 regulator 1,2.3 µg/L
GDA,Guanine deaminase,2.3 µg/L
PI3,Peptidase inhibitor 3,2.3 µg/L
BPIFB1,BPI fold containing family B member 1,2.3 µg/L
SEPTIN11,Septin 11,2.3 µg/L
QDPR,Quinoid dihydropteridine reductase,2.3 µg/L
PCBP1,Poly(rC) binding protein 1,2.3 µg/L
THOP1,Thimet oligopeptidase 1,2.3 µg/L
